ncsim(64): 15.20-s031: (c) Copyright 1995-2017 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm Wallce_tb.a Wallce_tb.b Wallce_tb.i Wallce_tb.j Wallce_tb.op
Created probe 1
ncsim> run
 0 x  0 = op =   0
 0 x  1 = op =   0
 0 x  2 = op =   0
 0 x  3 = op =   0
 0 x  4 = op =   0
 0 x  5 = op =   0
 0 x  6 = op =   0
 0 x  7 = op =   0
 0 x  8 = op =   0
 0 x  9 = op =   0
 0 x 10 = op =   0
 0 x 11 = op =   0
 0 x 12 = op =   0
 0 x 13 = op =   0
 0 x 14 = op =   0
 0 x 15 = op =   0
 1 x  0 = op =   0
 1 x  1 = op =   1
 1 x  2 = op =   2
 1 x  3 = op =   3
 1 x  4 = op =   4
 1 x  5 = op =   5
 1 x  6 = op =   6
 1 x  7 = op =   7
 1 x  8 = op =   8
 1 x  9 = op =   9
 1 x 10 = op =  10
 1 x 11 = op =  11
 1 x 12 = op =  12
 1 x 13 = op =  13
 1 x 14 = op =  14
 1 x 15 = op =  15
 2 x  0 = op =   0
 2 x  1 = op =   2
 2 x  2 = op =   4
 2 x  3 = op =   6
 2 x  4 = op =   8
 2 x  5 = op =  10
 2 x  6 = op =  12
 2 x  7 = op =  14
 2 x  8 = op =  16
 2 x  9 = op =  18
 2 x 10 = op =  20
 2 x 11 = op =  22
 2 x 12 = op =  24
 2 x 13 = op =  26
 2 x 14 = op =  28
 2 x 15 = op =  30
 3 x  0 = op =   0
 3 x  1 = op =   3
 3 x  2 = op =   6
 3 x  3 = op =   9
 3 x  4 = op =  12
 3 x  5 = op =  15
 3 x  6 = op =  18
 3 x  7 = op =  21
 3 x  8 = op =  24
 3 x  9 = op =  27
 3 x 10 = op =  30
 3 x 11 = op =  33
 3 x 12 = op =  36
 3 x 13 = op =  39
 3 x 14 = op =  42
 3 x 15 = op =  45
 4 x  0 = op =   0
 4 x  1 = op =   4
 4 x  2 = op =   8
 4 x  3 = op =  12
 4 x  4 = op =  16
 4 x  5 = op =  20
 4 x  6 = op =  24
 4 x  7 = op =  28
 4 x  8 = op =  32
 4 x  9 = op =  36
 4 x 10 = op =  40
 4 x 11 = op =  44
 4 x 12 = op =  48
 4 x 13 = op =  52
 4 x 14 = op =  56
 4 x 15 = op =  60
 5 x  0 = op =   0
 5 x  1 = op =   5
 5 x  2 = op =  10
 5 x  3 = op =  15
 5 x  4 = op =  20
